"Date","Transaction Status","Account Type","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (INR)"
"17/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Debt Adjustment","20093664690-202607171711","Cross-Account Debt Adjustment","0","0","0","-999","-999"
"17/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Debt Adjustment","20093664690-202607171711","Cross-Account Debt Adjustment","0","0","0","999","999"
"16/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","403-0599982-7291503","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"16/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2371.68","0","-2371.68"
"15/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","406-9149954-3153910","Rope Wire for Cloth Drying & Hanging Clo...","666","-80","0","80","666"
"15/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-3849451-4365104","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"15/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Refund","405-3849451-4365104","Rope Wire for Cloth Drying & Hanging Clo...","-333","40","0","-40","-333"
"14/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-1719630-8991545","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"14/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-8217976-7438753","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"13/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Refund","407-3044460-0590726","Rope Wire for Cloth Drying & Hanging Clo...","-333","40","0","-40","-333"
"12/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","407-3044460-0590726","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"12/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Debt Adjustment","20093664690-202607121711","Cross-Account Debt Adjustment","0","0","0","-416.25","-416.25"
"12/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Debt Adjustment","20093664690-202607121711","Cross-Account Debt Adjustment","0","0","0","416.25","416.25"
"12/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","405-4729235-1228359","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"12/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-9820536-5146728","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"12/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Inventory Reimbursement","402-1539313-8167569","FBA Inventory Reimbursement","0","0","0","83.25","83.25"
"11/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7930140-4509958","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"11/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2376.66","0","-2376.66"
"10/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-2692529-6410744","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"10/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-6422647-6667562","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"9/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-0904817-0037918","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"8/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-3522243-1165135","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"7/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","---","FBA Inventory Storage Fee","0","0","-23.02","0","-23.02"
"7/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2429.34","0","-2429.34"
"6/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-9610561-3223501","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"6/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","402-1539313-8167569","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"6/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Refund","402-1539313-8167569","Rope Wire for Cloth Drying & Hanging Clo...","-333","0","-82.6","0","-415.6"
"5/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-5814587-8929968","Rope Wire for Cloth Drying & Hanging Clo...","333","-6.34","0","6.34","333"
"4/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2420","0","-2420"
"3/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-6493128-9237923","PVC Coated GI Rope Wire for Cloth Drying...","333","-40","-105.02","40","227.98"
"1/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-1187.92","0","-1187.92"
"30/6/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-599.11","0","-599.11"
"29/6/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-308.71","0","-308.71"
"28/6/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-146.03","0","-146.03"
"28/6/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","---","Subscription:","0","0","0","0","0"
"17/6/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","---","Inbound Transportation Fee","0","0","0","-1172.92","-1172.92"
"16/6/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","---","Inbound Transportation Fee","0","0","0","0","0"
